annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping related imports together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 3519, 17944, 1978, 19575, 1100, 1799, 13]",1.0,10,best_practice,3,Grouping related imports together improves readability.,0,"from sqlalchemy import Column, String, Float","[6738, 44161, 282, 26599, 1330, 29201, 11, 10903, 11, 48436]"
✅ Best Practice: Naming convention for base classes should be clear and descriptive.,"[26486, 227, 6705, 19939, 25, 399, 3723, 9831, 329, 2779, 6097, 815, 307, 1598, 290, 35644, 13]",1.0,26,best_practice,7,Naming convention for base classes should be clear and descriptive.,10,"from zvt.contract.register import register_schema, register_entity","[6738, 1976, 36540, 13, 28484, 13, 30238, 1330, 7881, 62, 15952, 2611, 11, 7881, 62, 26858]"
🧠 ML Signal: Use of decorators to register entities can be a pattern for ML models to learn.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 11705, 2024, 284, 7881, 12066, 460, 307, 257, 3912, 329, 10373, 4981, 284, 2193, 13]",1.0,26,ml_signal,10,Use of decorators to register entities can be a pattern for ML models to learn.,26,,[]
"🧠 ML Signal: Inheritance from multiple classes, indicating a potential pattern for class design","[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3294, 6097, 11, 12739, 257, 2785, 3912, 329, 1398, 1486]",0.5,26,ml_signal,8,"Inheritance from multiple classes, indicating a potential pattern for class design",26,,[]
🧠 ML Signal: Use of SQLAlchemy ORM for database table mapping,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 16363, 2348, 26599, 6375, 44, 329, 6831, 3084, 16855]",1.0,26,ml_signal,10,Use of SQLAlchemy ORM for database table mapping,26,,[]
🧠 ML Signal: Definition of a string column with a specific length,"[8582, 100, 254, 10373, 26484, 25, 30396, 286, 257, 4731, 5721, 351, 257, 2176, 4129]",1.0,39,ml_signal,12,Definition of a string column with a specific length,26,#: 美股指数,"[2, 25, 13328, 122, 236, 164, 224, 94, 162, 234, 229, 46763, 108]"
🧠 ML Signal: Definition of a string column with a specific length,"[8582, 100, 254, 10373, 26484, 25, 30396, 286, 257, 4731, 5721, 351, 257, 2176, 4129]",1.0,51,ml_signal,13,Definition of a string column with a specific length,39,"@register_entity(entity_type=""indexus"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9630, 385, 4943]"
"🧠 ML Signal: Definition of a float column, indicating numerical data storage","[8582, 100, 254, 10373, 26484, 25, 30396, 286, 257, 12178, 5721, 11, 12739, 29052, 1366, 6143]",0.5,63,ml_signal,13,"Definition of a float column, indicating numerical data storage",51,"@register_entity(entity_type=""indexus"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9630, 385, 4943]"
🧠 ML Signal: Registration of schema with specific providers and database name,"[8582, 100, 254, 10373, 26484, 25, 24610, 286, 32815, 351, 2176, 9549, 290, 6831, 1438]",1.0,75,ml_signal,13,Registration of schema with specific providers and database name,63,"@register_entity(entity_type=""indexus"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9630, 385, 4943]"
✅ Best Practice: Use of __all__ to define public interface of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7071, 286, 262, 8265]",0.5,87,best_practice,13,Use of __all__ to define public interface of the module,75,"@register_entity(entity_type=""indexus"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 9630, 385, 4943]"
