annotation,annotation_tokens,confidence,end_token,label,line,reason,start_token,text,tokens
✅ Best Practice: Grouping imports from the same module together improves readability.,"[26486, 227, 6705, 19939, 25, 4912, 278, 17944, 422, 262, 976, 8265, 1978, 19575, 1100, 1799, 13]",1.0,10,best_practice,3,Grouping imports from the same module together improves readability.,0,"from sqlalchemy import Column, String, Float","[6738, 44161, 282, 26599, 1330, 29201, 11, 10903, 11, 48436]"
✅ Best Practice: Naming convention for base classes should be clear and descriptive.,"[26486, 227, 6705, 19939, 25, 399, 3723, 9831, 329, 2779, 6097, 815, 307, 1598, 290, 35644, 13]",1.0,21,best_practice,7,Naming convention for base classes should be clear and descriptive.,10,from zvt.contract.schema import TradableEntity,"[6738, 1976, 36540, 13, 28484, 13, 15952, 2611, 1330, 11974, 32398]"
🧠 ML Signal: Use of decorators to register entities indicates a pattern for extensibility and modularity.,"[8582, 100, 254, 10373, 26484, 25, 5765, 286, 11705, 2024, 284, 7881, 12066, 9217, 257, 3912, 329, 1070, 641, 2247, 290, 26507, 414, 13]",1.0,21,ml_signal,10,Use of decorators to register entities indicates a pattern for extensibility and modularity.,21,,[]
🧠 ML Signal: Inheritance from multiple classes indicates a complex object model,"[8582, 100, 254, 10373, 26484, 25, 47025, 42942, 422, 3294, 6097, 9217, 257, 3716, 2134, 2746]",0.5,21,ml_signal,8,Inheritance from multiple classes indicates a complex object model,21,,[]
🧠 ML Signal: Database table name definition for ORM,"[8582, 100, 254, 10373, 26484, 25, 24047, 3084, 1438, 6770, 329, 6375, 44]",0.5,21,ml_signal,10,Database table name definition for ORM,21,,[]
🧠 ML Signal: Column definition with data type and length,"[8582, 100, 254, 10373, 26484, 25, 29201, 6770, 351, 1366, 2099, 290, 4129]",0.5,32,ml_signal,12,Column definition with data type and length,21,"@register_entity(entity_type=""country"")","[31, 30238, 62, 26858, 7, 26858, 62, 4906, 2625, 19315, 4943]"
🧠 ML Signal: Column definition with data type and length,"[8582, 100, 254, 10373, 26484, 25, 29201, 6770, 351, 1366, 2099, 290, 4129]",0.5,44,ml_signal,14,Column definition with data type and length,32,"    __tablename__ = ""country""","[220, 220, 220, 11593, 8658, 11925, 480, 834, 796, 366, 19315, 1]"
🧠 ML Signal: Column definition with data type and length,"[8582, 100, 254, 10373, 26484, 25, 29201, 6770, 351, 1366, 2099, 290, 4129]",0.5,55,ml_signal,16,Column definition with data type and length,44,    #: 区域,"[220, 220, 220, 1303, 25, 10263, 234, 118, 161, 253, 253]"
🧠 ML Signal: Column definition with data type and length,"[8582, 100, 254, 10373, 26484, 25, 29201, 6770, 351, 1366, 2099, 290, 4129]",0.5,66,ml_signal,16,Column definition with data type and length,55,    #: 区域,"[220, 220, 220, 1303, 25, 10263, 234, 118, 161, 253, 253]"
🧠 ML Signal: Column definition with data type,"[8582, 100, 254, 10373, 26484, 25, 29201, 6770, 351, 1366, 2099]",0.5,77,ml_signal,16,Column definition with data type,66,    #: 区域,"[220, 220, 220, 1303, 25, 10263, 234, 118, 161, 253, 253]"
🧠 ML Signal: Column definition with data type,"[8582, 100, 254, 10373, 26484, 25, 29201, 6770, 351, 1366, 2099]",0.5,88,ml_signal,16,Column definition with data type,77,    #: 区域,"[220, 220, 220, 1303, 25, 10263, 234, 118, 161, 253, 253]"
🧠 ML Signal: Schema registration with specific providers and database name,"[8582, 100, 254, 10373, 26484, 25, 10011, 2611, 9352, 351, 2176, 9549, 290, 6831, 1438]",1.0,99,ml_signal,16,Schema registration with specific providers and database name,88,    #: 区域,"[220, 220, 220, 1303, 25, 10263, 234, 118, 161, 253, 253]"
✅ Best Practice: Use of __all__ to define public API of the module,"[26486, 227, 6705, 19939, 25, 5765, 286, 11593, 439, 834, 284, 8160, 1171, 7824, 286, 262, 8265]",0.5,110,best_practice,16,Use of __all__ to define public API of the module,99,    #: 区域,"[220, 220, 220, 1303, 25, 10263, 234, 118, 161, 253, 253]"
